dias,data,trat,bloco,NO3,NH4,EPSA,Tsolo,N2O,l1,l2,l3,l4,
262,28,17%,1,32.64649,2.628631,60.8,26.9,8.325113636,,,,,
262,28,17%,2,56.62111,2.896945,55.38,26.9,-44.21863636,,,,,
262,28,17%,3,46.2339,3.774459,66.45,26.9,-44.21863636,,,,,
262,28,46%,1,20.23335,2.205055,69.97,26.9,43.26329545,,,,,
262,28,46%,2,38.21073,3.004686,59.93,26.9,91.57625,,,,,
262,28,46%,3,23.97543,2.377138,16.29,26.9,0.955340909,,,,,
262,28,75%,1,60.25419,2.889364,67.37,26.9,3.275454545,,,,,
262,28,75%,2,56.40298,3.377175,58.32,26.9,144.12,,,,,
262,28,75%,3,18.89977,3.318015,61.07,26.9,-1.091818182,,,,,
262,28,CE,1,,,,,-116.279,,,,,
273,29,S,1,51.80956,4.90306,53.4,23.17,-4.897700259,,,,,
273,29,S,2,37.23203,7.190029,64.2,22.5,67.46869821,,,,,
273,29,S,3,67.2096,10.1407,51.76,23.3,-7.354580201,,,,,
273,29,17%,1,30.20944,5.192154,46.09,22.03,2.135963347,,,,,
273,29,17%,2,25.74748,9.763565,58.27,22.33,13.91177846,,,,,
273,29,17%,3,9.513146,6.644617,49.17,22.7,13.91177846,,,,,
273,29,46%,1,27.34362,4.843858,48.76,26.47,-254.9447107,,,,,
273,29,46%,2,21.77347,5.91718,49.97,22.5,0.111564888,,,,,
273,29,46%,3,31.42788,6.353672,48.61,23.43,1.058269422,,,,,
273,29,75%,1,15.8462,8.345704,50.36,24.5,-49.55901451,,,,,
273,29,75%,2,43.35607,8.330954,46.27,22.33,-60.53704196,,,,,
273,29,75%,3,29.55609,5.360637,40.82,24.27,3.053983186,,,,,
273,29,CE,1,,,,,-8.8838,,,,,
278,30,S,1,14.9064,7.052759,51.16,26.6,-12.65951314,,,,,
278,30,S,2,11.83159,7.19626,55.22,26.6,66.92908186,,,,,
278,30,S,3,16.29997,6.880089,47.26,26.6,-22.06980563,,,,,
278,30,17%,1,23.40587,7.101373,55.95,26.6,17.47243594,,,,,
278,30,17%,2,5.012118,4.138635,48.57,26.6,14.42325274,,,,,
278,30,17%,3,7.303304,14.34969,53.0822,26.6,14.42325274,,,,,
278,30,46%,1,6.773956,9.035084,59.97,26.6,-8.629818264,,,,,
278,30,46%,2,4.974684,5.663743,47.71,26.6,53.87036833,,,,,
278,30,46%,3,4.369317,6.61789,49.95,26.6,-1.849880187,,,,,
278,30,75%,1,17.16104,6.449687,51.91,26.6,46.55293512,,,,,
278,30,75%,2,9.272991,9.139051,49.88,26.6,13.16419515,,,,,
278,30,75%,3,7.340868,10.7618,49.4,26.6,16.2382922,,,,,
278,30,CE,1,,,,,-405.7290615,,,,,
